"CUSTOMER_CODE","INVOICE_CODE","AMOUNT","DATE"
"CUST00000001","INVO00000001","74.11","7-May-2016"
"CUST00000001","INVO00000002","30.25","28-Jun-2019"
"CUST00000001","INVO00000003","1.93","7-Feb-2018"
"CUST00000006","INVO00000004","580.43","5-Sep-2017"
"CUST00000006","INVO00000005","9.77","7-Oct-2019"
"CUST00000010","INVO00000006","83.63","7-May-2016"
"CUST00000010","INVO00000007","22.88","28-Sep-2010"
"CUST00000010","INVO00000008","662.95","22-Dec-2013"
"CUST00000015","INVO00000009","7.75","20-Apr-2017"
"CUST00000015","INVO00000010","24.27","11-Jun-2016"
"CUST00000016","INVO00000011","736.52","2-Sep-2013"
"CUST00000019","INVO00000012","9.32","7-Dec-2018"
"CUST00000026","INVO00000013","339.6","4-Nov-2012"
"CUST00000028","INVO00000014","12.98","12-Feb-2017"
"CUST00000028","INVO00000015","43.71","22-Jan-2012"
"CUST00000028","INVO00000016","7.88","24-Dec-2010"
"CUST00000037","INVO00000017","195.03","8-Aug-2010"
"CUST00000037","INVO00000018","881.99","19-May-2012"
"CUST00000037","INVO00000019","1.9","14-Jul-2011"
"CUST00000045","INVO00000020","8.77","3-Aug-2018"
"CUST00000045","INVO00000021","79.21","15-Nov-2014"
"CUST00000051","INVO00000022","601.14","13-Jul-2012"
"CUST00000051","INVO00000023","7.73","12-Jul-2011"
"CUST00000051","INVO00000024","1.29","7-Jun-2014"
"CUST00000056","INVO00000025","6.45","3-Apr-2014"
"CUST00000065","INVO00000026","5.36","5-Mar-2012"
"CUST00000065","INVO00000027","1.37","1-Oct-2014"
"CUST00000067","INVO00000028","126.87","23-Nov-2011"
"CUST00000071","INVO00000029","795.94","22-Jul-2019"
"CUST00000072","INVO00000030","114.38","28-Sep-2014"
"CUST00000075","INVO00000031","37.15","26-Dec-2018"
"CUST00000078","INVO00000032","76.2","18-Dec-2011"
"CUST00000078","INVO00000033","15.26","16-Feb-2018"
"CUST00000086","INVO00000034","7.05","15-Dec-2013"
"CUST00000086","INVO00000035","63.27","5-May-2014"
"CUST00000092","INVO00000036","36.15","13-Mar-2011"
"CUST00000092","INVO00000037","94.9","12-Nov-2017"
"CUST00000092","INVO00000038","78.24","4-Mar-2015"
"CUST00000099","INVO00000039","8.64","12-Jun-2010"
"CUST00000099","INVO00000040","947.76","10-Feb-2015"
"CUST00000102","INVO00000041","711.36","15-Dec-2018"
"CUST00000102","INVO00000042","142.83","2-Sep-2019"
"CUST00000102","INVO00000043","841.43","11-Feb-2013"
"CUST00000111","INVO00000044","336.44","11-Aug-2015"
"CUST00000111","INVO00000045","4.58","4-Jan-2014"
"CUST00000119","INVO00000046","293.11","8-Jan-2010"
"CUST00000120","INVO00000047","1.75","22-Jan-2012"
"CUST00000120","INVO00000048","776.86","19-Jan-2011"
"CUST00000120","INVO00000049","40.61","22-Jan-2018"
"CUST00000124","INVO00000050","349.39","10-Nov-2012"
"CUST00000124","INVO00000051","220.42","7-Nov-2010"
"CUST00000124","INVO00000052","2.39","15-Mar-2018"
"CUST00000131","INVO00000053","79.72","21-Sep-2017"
"CUST00000131","INVO00000054","7.32","5-Nov-2017"
"CUST00000137","INVO00000055","344.42","6-Feb-2013"
"CUST00000137","INVO00000056","1.89","3-Dec-2013"
"CUST00000139","INVO00000057","89.47","18-Mar-2019"
"CUST00000139","INVO00000058","64.75","28-Mar-2019"
"CUST00000139","INVO00000059","82.52","29-Jan-2012"
"CUST00000140","INVO00000060","8.83","1-Aug-2011"
"CUST00000140","INVO00000061","2.65","16-May-2010"
"CUST00000150","INVO00000062","78.69","8-Jun-2011"
"CUST00000150","INVO00000063","17.48","7-Sep-2010"
"CUST00000150","INVO00000064","90.73","28-Feb-2018"
"CUST00000154","INVO00000065","126.34","20-Sep-2018"
"CUST00000154","INVO00000066","99.54","13-Oct-2016"
"CUST00000154","INVO00000067","955.72","7-Jan-2012"
"CUST00000163","INVO00000068","7.67","10-Jul-2016"
"CUST00000171","INVO00000069","55.62","6-Apr-2013"
"CUST00000181","INVO00000070","292.45","8-Sep-2016"
"CUST00000181","INVO00000071","51.54","26-Jul-2014"
"CUST00000181","INVO00000072","514.69","26-Sep-2015"
"CUST00000188","INVO00000073","129.86","19-Oct-2017"
"CUST00000188","INVO00000074","5.05","18-Mar-2013"
"CUST00000192","INVO00000075","482.57","13-Apr-2010"
"CUST00000192","INVO00000076","4.33","28-Oct-2019"
"CUST00000192","INVO00000077","7.71","22-Jun-2013"
"CUST00000194","INVO00000078","9.32","25-Jul-2016"
"CUST00000194","INVO00000079","45.53","17-Jul-2018"
"CUST00000197","INVO00000080","53.66","20-Apr-2017"
"CUST00000197","INVO00000081","87.57","9-Aug-2011"
"CUST00000204","INVO00000082","43.49","13-Feb-2018"
"CUST00000204","INVO00000083","1.89","8-Aug-2013"
"CUST00000204","INVO00000084","810.59","16-Jan-2017"
"CUST00000214","INVO00000085","744.62","1-Sep-2016"
"CUST00000221","INVO00000086","658.92","23-Mar-2013"
"CUST00000221","INVO00000087","24.53","21-Dec-2014"
"CUST00000221","INVO00000088","667.47","4-Mar-2019"
"CUST00000228","INVO00000089","390.42","17-Mar-2010"
"CUST00000228","INVO00000090","6.93","26-Sep-2018"
"CUST00000228","INVO00000091","46.46","26-Jun-2018"
"CUST00000233","INVO00000092","1.87","24-Oct-2011"
"CUST00000238","INVO00000093","217.75","10-Mar-2016"
"CUST00000238","INVO00000094","9.9","12-Dec-2015"
"CUST00000238","INVO00000095","340.9","17-Oct-2017"
"CUST00000247","INVO00000096","6.68","19-Dec-2016"
"CUST00000247","INVO00000097","3.51","0-Nov-2015"
"CUST00000251","INVO00000098","66.33","8-May-2019"
"CUST00000251","INVO00000099","3.67","0-Jul-2016"
"CUST00000252","INVO00000100","34.82","12-May-2011"
"CUST00000252","INVO00000101","6.61","23-Oct-2010"
"CUST00000261","INVO00000102","514.62","22-Aug-2016"
"CUST00000261","INVO00000103","412.76","13-Mar-2010"
"CUST00000261","INVO00000104","20.97","15-May-2012"
"CUST00000267","INVO00000105","84.65","10-Nov-2016"
"CUST00000267","INVO00000106","517.71","27-May-2017"
"CUST00000277","INVO00000107","2.82","18-Apr-2016"
"CUST00000279","INVO00000108","874.21","15-Mar-2018"
"CUST00000279","INVO00000109","86.56","3-Jan-2019"
"CUST00000289","INVO00000110","8.06","10-Mar-2014"
"CUST00000296","INVO00000111","70.36","18-Sep-2011"
"CUST00000296","INVO00000112","3.8","7-Jul-2015"
"CUST00000296","INVO00000113","8.66","10-Jun-2018"
"CUST00000305","INVO00000114","6.5","11-Sep-2010"
"CUST00000305","INVO00000115","1.22","12-Feb-2011"
"CUST00000312","INVO00000116","7.65","21-Apr-2011"
"CUST00000312","INVO00000117","825.82","19-Mar-2015"
"CUST00000312","INVO00000118","4.87","12-Feb-2015"
"CUST00000321","INVO00000119","10.01","5-Feb-2014"
"CUST00000321","INVO00000120","1.91","6-Oct-2018"
"CUST00000328","INVO00000121","3.0","6-Dec-2013"
"CUST00000330","INVO00000122","19.55","22-Apr-2019"
"CUST00000330","INVO00000123","67.89","7-Oct-2018"
"CUST00000332","INVO00000124","21.97","0-Mar-2011"
"CUST00000332","INVO00000125","3.29","13-Nov-2014"
"CUST00000332","INVO00000126","1.89","21-Apr-2011"
"CUST00000334","INVO00000127","356.94","16-Dec-2011"
"CUST00000344","INVO00000128","19.07","9-Jul-2012"
"CUST00000344","INVO00000129","277.49","10-Jul-2012"
"CUST00000344","INVO00000130","42.55","12-Mar-2016"
"CUST00000353","INVO00000131","5.48","29-Jan-2016"
"CUST00000362","INVO00000132","386.62","8-Feb-2010"
"CUST00000366","INVO00000133","4.81","10-Mar-2018"
"CUST00000367","INVO00000134","79.03","17-Aug-2017"
"CUST00000367","INVO00000135","546.8","20-Dec-2011"
"CUST00000374","INVO00000136","6.93","15-Oct-2019"
"CUST00000375","INVO00000137","72.58","19-Feb-2012"
"CUST00000375","INVO00000138","9.49","3-Aug-2018"
"CUST00000375","INVO00000139","8.63","3-Oct-2011"
"CUST00000385","INVO00000140","7.39","27-Sep-2014"
"CUST00000385","INVO00000141","228.05","24-Dec-2016"
"CUST00000393","INVO00000142","619.71","25-Mar-2016"
"CUST00000393","INVO00000143","809.08","12-May-2013"
"CUST00000393","INVO00000144","841.44","3-Feb-2013"
"CUST00000396","INVO00000145","93.98","13-Nov-2018"
"CUST00000396","INVO00000146","84.51","19-Dec-2014"
"CUST00000396","INVO00000147","84.17","26-Jul-2010"
"CUST00000397","INVO00000148","9.67","15-May-2012"
"CUST00000397","INVO00000149","93.36","8-Jul-2019"
"CUST00000397","INVO00000150","879.91","4-Nov-2013"
"CUST00000403","INVO00000151","66.68","17-Nov-2016"
"CUST00000403","INVO00000152","47.08","11-Jan-2011"
"CUST00000412","INVO00000153","11.52","1-Mar-2017"
"CUST00000412","INVO00000154","3.81","28-Mar-2016"
"CUST00000421","INVO00000155","2.18","25-Oct-2017"
"CUST00000421","INVO00000156","3.31","15-Nov-2019"
"CUST00000421","INVO00000157","53.16","12-Jan-2015"
"CUST00000429","INVO00000158","85.09","25-Nov-2019"
"CUST00000429","INVO00000159","93.13","5-Sep-2010"
"CUST00000429","INVO00000160","8.01","17-Sep-2019"
"CUST00000431","INVO00000161","28.0","29-Jul-2011"
"CUST00000436","INVO00000162","572.83","3-Feb-2014"
"CUST00000446","INVO00000163","805.02","6-Dec-2017"
"CUST00000446","INVO00000164","3.56","20-Jun-2015"
