"INVOICE_CODE","ITEM_CODE","AMOUNT","QUANTITY"
"INVO00000001","CM8055","38.6","74"
"INVO00000006","CM8243","31.99","688"
"INVO00000011","CM7315","54.76","485"
"INVO00000021","LOYAL4179","63.7","968"
"INVO00000028","10YEARS1285","4.77","801"
"INVO00000028","5YEARS8040","385.4","656"
"INVO00000036","LOYAL0266","77.06","576"
"INVO00000044","DIS7892","69.22","266"
"INVO00000044","VAL1406","80.25","723"
"INVO00000044","LOYAL1802","72.69","458"
"INVO00000048","5YEARS5397","481.1","247"
"INVO00000058","VAL5252","61.29","759"
"INVO00000064","VAL5450","3.07","436"
"INVO00000064","10YEARS9027","3.42","824"
"INVO00000064","5YEARS4281","493.7","65"
"INVO00000073","CM8814","15.48","919"
"INVO00000073","CM6689","96.78","838"
"INVO00000083","LOYAL7282","81.94","165"
"INVO00000083","LOYAL1413","12.99","273"
"INVO00000083","DIS2338","22.89","998"
"INVO00000085","5YEARS0682","98.76","966"
"INVO00000085","5YEARS7327","288.54","424"
"INVO00000085","CM2139","10.16","15"
"INVO00000094","LOYAL7498","3.96","246"
"INVO00000103","DIS5652","363.46","999"
"INVO00000106","CM4299","93.8","210"
"INVO00000106","5YEARS6866","7.69","266"
"INVO00000106","CM4352","1.39","780"
"INVO00000108","5YEARS0282","94.32","578"
"INVO00000108","10YEARS4394","97.24","295"
"INVO00000108","DIS0762","6.71","41"
"INVO00000118","LOYAL7110","75.96","428"
"INVO00000128","VAL6491","5.6","857"
"INVO00000128","CM5266","9.28","150"
"INVO00000132","10YEARS2934","19.01","833"
"INVO00000132","5YEARS0245","29.8","515"
"INVO00000134","CM1437","167.55","60"
"INVO00000134","CM3518","313.47","362"
"INVO00000134","10YEARS4508","47.03","349"
"INVO00000143","10YEARS6728","10.04","437"
"INVO00000143","VAL5382","8.6","232"
"INVO00000148","10YEARS9241","198.19","517"
"INVO00000153","5YEARS8659","3.79","224"
"INVO00000157","10YEARS6586","6.05","282"
"INVO00000157","LOYAL4082","3.77","573"
"INVO00000160","VAL3630","49.62","142"
"INVO00000160","CM6579","90.17","933"
"INVO00000162","10YEARS0241","3.71","531"
"INVO00000162","CM5488","4.37","276"
"INVO00000162","VAL7069","2.39","282"
"INVO00000170","DIS3460","57.08","229"
"INVO00000170","DIS2836","476.35","310"
"INVO00000177","10YEARS3486","59.41","784"
"INVO00000177","CM6883","221.37","571"
"INVO00000177","VAL3374","38.85","246"
"INVO00000183","CM2655","395.94","181"
"INVO00000183","LOYAL5523","9.72","197"
"INVO00000183","DIS2359","3.74","585"
"INVO00000191","DIS8631","51.64","638"
"INVO00000193","CM5547","69.02","343"
"INVO00000193","LOYAL4414","408.06","486"
"INVO00000198","CM4873","2.67","345"
"INVO00000198","LOYAL3391","6.18","594"
"INVO00000198","5YEARS2564","8.96","311"
"INVO00000206","DIS2236","336.83","341"
"INVO00000206","10YEARS3679","5.56","34"
"INVO00000214","10YEARS2009","332.11","427"
"INVO00000214","DIS4758","67.02","793"
"INVO00000214","DIS7422","6.51","79"
"INVO00000217","VAL9907","4.97","921"
"INVO00000217","LOYAL6953","2.14","804"
"INVO00000227","VAL2774","5.14","375"
"INVO00000235","VAL2196","46.35","914"
"INVO00000244","5YEARS6629","8.36","146"
"INVO00000244","5YEARS8550","109.47","577"
"INVO00000244","VAL9626","150.27","585"
"INVO00000247","VAL0438","4.17","277"
"INVO00000247","VAL4853","4.32","66"
"INVO00000247","LOYAL4720","22.88","412"
"INVO00000251","LOYAL1762","31.44","920"
"INVO00000251","10YEARS1163","229.25","594"
"INVO00000261","DIS7348","1.23","357"
"INVO00000261","10YEARS9054","137.88","796"
"INVO00000261","LOYAL9841","14.89","147"
"INVO00000269","LOYAL9608","7.91","104"
"INVO00000269","5YEARS3456","60.14","680"
"INVO00000269","CM8505","5.2","935"
"INVO00000274","10YEARS4487","6.9","357"
"INVO00000284","CM2665","58.47","403"
"INVO00000294","VAL3010","3.73","952"
"INVO00000294","CM1876","66.5","628"
"INVO00000294","5YEARS2250","67.62","311"
"INVO00000301","10YEARS2546","6.83","437"
